Name,Email,Financial Status,Currency,Discount Code,Discount Amount,Created at,Lineitem quantity,Lineitem name,Lineitem sku,Lineitem price,Lineitem discount,Payment Method
#2025,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,8,Lavender Candle,CANDLE-LAV,24,0,shopify_payments
#2026,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,8,Lavender Candle,CANDLE-LAV,24,0,shopify_payments
#2027,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,8,Lavender Candle,CANDLE-LAV,24,0,shopify_payments
#2028,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,8,Lavender Candle,CANDLE-LAV,24,0,shopify_payments
#2029,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,8,Lavender Candle,CANDLE-LAV,24,0,shopify_payments
#2030,customer@example.com,paid,EUR,VIP15,36,2026-08-20 10:00:00 -0400,10,Vanilla Candle,CANDLE-VAN,24,36,shopify_payments
#2031,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,8,Vanilla Candle,CANDLE-VAN,24,0,shopify_payments
#2032,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,8,Vanilla Candle,CANDLE-VAN,24,0,shopify_payments
#2033,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,8,Vanilla Candle,CANDLE-VAN,24,0,shopify_payments
#2034,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,8,Vanilla Candle,CANDLE-VAN,24,0,shopify_payments
#2035,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,8,Vanilla Candle,CANDLE-VAN,24,0,shopify_payments
#2036,customer@example.com,paid,EUR,VIP15,27,2026-08-20 10:00:00 -0400,10,Ceramic Mug,MUG-CERAMIC,18,27,shopify_payments
#2037,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Ceramic Mug,MUG-CERAMIC,18,0,shopify_payments
#2038,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Ceramic Mug,MUG-CERAMIC,18,0,shopify_payments
#2039,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Ceramic Mug,MUG-CERAMIC,18,0,shopify_payments
#2040,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Ceramic Mug,MUG-CERAMIC,18,0,shopify_payments
#2041,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Ceramic Mug,MUG-CERAMIC,18,0,shopify_payments
#2042,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Ceramic Mug,MUG-CERAMIC,18,0,shopify_payments
#2043,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Canvas Tote Bag,TOTE-CANVAS,16,0,shopify_payments
#2044,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Canvas Tote Bag,TOTE-CANVAS,16,0,shopify_payments
#2045,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Canvas Tote Bag,TOTE-CANVAS,16,0,shopify_payments
#2046,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Canvas Tote Bag,TOTE-CANVAS,16,0,shopify_payments
#2047,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Canvas Tote Bag,TOTE-CANVAS,16,0,shopify_payments
#2048,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Canvas Tote Bag,TOTE-CANVAS,16,0,shopify_payments
#2049,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Canvas Tote Bag,TOTE-CANVAS,16,0,shopify_payments
#2050,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Canvas Tote Bag,TOTE-CANVAS,16,0,shopify_payments
#2051,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Kraft Notebook,NOTEBOOK-KRAFT,9,0,shopify_payments
#2052,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Kraft Notebook,NOTEBOOK-KRAFT,9,0,shopify_payments
#2053,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Kraft Notebook,NOTEBOOK-KRAFT,9,0,shopify_payments
#2054,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Kraft Notebook,NOTEBOOK-KRAFT,9,0,shopify_payments
#2055,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Kraft Notebook,NOTEBOOK-KRAFT,9,0,shopify_payments
#2056,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Kraft Notebook,NOTEBOOK-KRAFT,9,0,shopify_payments
#2057,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Kraft Notebook,NOTEBOOK-KRAFT,9,0,shopify_payments
#2058,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Kraft Notebook,NOTEBOOK-KRAFT,9,0,shopify_payments
#2059,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Kraft Notebook,NOTEBOOK-KRAFT,9,0,shopify_payments
#2060,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,10,Kraft Notebook,NOTEBOOK-KRAFT,9,0,shopify_payments
#2061,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,20,Handmade Soap Bar,SOAP-BAR,7,0,shopify_payments
#2062,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,20,Handmade Soap Bar,SOAP-BAR,7,0,shopify_payments
#2063,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,20,Handmade Soap Bar,SOAP-BAR,7,0,shopify_payments
#2064,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,20,Handmade Soap Bar,SOAP-BAR,7,0,shopify_payments
#2065,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,20,Handmade Soap Bar,SOAP-BAR,7,0,shopify_payments
#2066,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,20,Handmade Soap Bar,SOAP-BAR,7,0,shopify_payments
#2067,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,1,Lavender Candle,CANDLE-LAV,24,0,shopify_payments
#2068,customer@example.com,paid,EUR,,,2026-08-20 10:00:00 -0400,2,Ceramic Mug,MUG-CERAMIC,18,0,shopify_payments
#2069,customer@example.com,paid,EUR,,,2026-08-21 09:15:00 -0400,2,Lavender Candle,CANDLE-LAV,24,0,shopify_payments
,,,,,,,3,Ceramic Mug,MUG-CERAMIC,18,0,
